name,hash,cityofberkeley_amount,ucberkeley_amount,both_amount,committee_name
finance/Democrat/Lola Smallwood-Cuevas,9c421dc,312.0,0.0,0.0,LOLA SMALLWOOD-CUEVAS FOR SENATE 2026
finance/Democrat/Catherine Stefani,5a733a4,1100.0,0.0,0.0,Catherine Stefani for Assembly 2026
finance/Democrat/Thomas F. Steyer,b02a582,39800.0,0.0,0.0,Steyer for Governor 2026
finance/Democrat/Samuel P. Sukaton,0d034ae,835.0,0.0,0.0,Sukaton for State Board of Equalization 2026
finance/Democrat/Eric M. Swalwell,7370451,23740.0,0.0,200.0,Eric Swalwell for Governor 2026
finance/Democrat/Vance Taylor,c3d3d5b,200.0,0.0,0.0,Vance Taylor for Assembly 2026
finance/Democrat/Tony Thurmond,e19b655,10605.0,380.0,0.0,Tony Thurmond for Governor 2026
finance/Democrat/Michael Tubbs,0ac40d5,8814.99,1400.0,0.0,Michael Tubbs for Lieutenant Governor 2026
finance/Democrat/Thomas J. Umberg,9f5ab81,562.0,0.0,0.0,Colonel (Ret.) Tom Umberg for Board of Equalization 2026
finance/Democrat/Antonio R. Villaraigosa,1a9eade,450.0,0.0,0.0,Antonio Villaraigosa for Governor 2026
finance/Democrat/Shirley Weber,9085d58,1500.0,0.0,0.0,Shirley Weber for Secretary of State 2026
finance/Democrat/Buffy Wicks,96765d2,2200.0,0.0,0.0,Buffy Wicks for Assembly 2026
finance/Democrat/Patrick Wolff,7e216ab,13550.0,0.0,0.0,Wolff for Insurance Commissioner 2026
finance/Democrat/Betty T. Yee,5f81059,7215.0,783.0,0.0,Betty Yee for Governor 2026
finance/Republican,,,,,
finance/Republican/Chad Bianco,438a5f1,350.0,52.23,0.0,Bianco for Governor 2026
finance/Republican/Carl De Maio,09cd8df,419.2,0.0,0.0,Carl DeMaio for State Assembly 2026
finance/Republican/Carl De Maio,09cd8df,1014.25,0.0,0.0,Reform California with Carl DeMaio - Ballot Measure Committee
finance/Republican/Michael Gates,a9aca30,500.0,0.0,0.0,Gates for Attorney General 2026
finance/Republican/Steve Hilton,e08ee23,6128.71,200.0,0.0,Steve Hilton for Governor 2026
finance/Republican/Natasha Johnson,c436dfa,11800.0,0.0,0.0,Johnson for Assembly 2026
finance/Republican/Herbert W. Morgan,2c467a8,260.25,0.0,0.0,Herb Morgan For State Controller 2026
finance/Republican/Michael Murphy,57d835a,1000.0,0.0,0.0,Murphy for Assembly 2026
finance/Republican/Joseph A. Rubay,e07633f,615.0,0.0,0.0,Friends of Joe Rubay for Assembly 2026
finance/Republican/William K. Shireman,27e94dc,52.4,0.0,0.0,"SHIREMAN FOR BOARD OF EQUALIZATION DISTRICT 2, 2026; BILL"
finance/Green,,,,,
finance/Green/Mark B Rendon,b62c20f,178.42,0.0,105.72,"RENDON FOR ASSEMBLY, 2026; MARK"
"finance/Green/Rudolph ""Butch"" T Ware",f5ae024,2497.04,0.0,426.0,Butch Ware for Governor 2026
finance/Peace and Freedom,,,,,
finance/Peace and Freedom/Meghann L Adams,c1a5042,107.49,0.0,0.0,ADAMS FOR CONTROLLER 2026; MEGHANN
finance/Peace and Freedom/Ramsey Robinson,a6c3637,134.76,0.0,0.0,ROBINSON FOR GOVERNOR 2026; RAMSEY
finance/Peace and Freedom/Eduardo E. Vargas,8a294cb,0.0,0.0,10.0,VARGAS FOR INSURANCE COMMISSIONER 2026; LALO
finance/Non-Partisan,,,,,
finance/Non-Partisan/Richard Barrera,da0b755,450.0,0.0,0.0,Richard Barrera for Superintendent of Public Instruction 2026
finance/Non-Partisan/Frank Lara,ac907ac,0.0,0.0,600.0,LARA FOR SUPERINTENDENT OF PUBLIC INSTRUCTION 2026; FRANK
finance/Non-Partisan/Al Muratsuchi,72a91f4,2100.0,0.0,0.0,Al Muratsuchi for Superintendent of Public Instruction 2026
finance/Non-Partisan/Josh Newman,492ddae,100.0,0.0,0.0,Josh Newman for Supt. of Public Instruction 2026
