Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,15327,,15327,,15327,Elsa Elmahdy; Francesca Rochberg; Linda Istanbulli,,Arabic,30,001,B,Letter Grade,B,Intermed Arabic
1,15327,,15327,,15327,Elsa Elmahdy; Francesca Rochberg; Linda Istanbulli,,Arabic,30,001,Credit,Non-Letter Grade,Pass,Intermed Arabic
3,15871,,15871,,15871,Darell Fields,,Architecture,11A,001,A,Letter Grade,A-,Intro Vis Rep Draw
3,15871,,15871,,15871,Darell Fields,,Architecture,11A,001,B,Letter Grade,B+,Intro Vis Rep Draw
4,15871,,15871,,15871,Darell Fields,,Architecture,11A,001,B,Letter Grade,B,Intro Vis Rep Draw
1,15871,,15871,,15871,Darell Fields,,Architecture,11A,001,B,Letter Grade,B-,Intro Vis Rep Draw
2,15871,,15871,,15871,Darell Fields,,Architecture,11A,001,C,Letter Grade,C+,Intro Vis Rep Draw
1,15871,,15871,,15871,Darell Fields,,Architecture,11A,001,Credit,Non-Letter Grade,Pass,Intro Vis Rep Draw
1,15871,,15871,,15871,Darell Fields,,Architecture,11A,001,No Credit,Non-Letter Grade,Not Pass,Intro Vis Rep Draw
3,13310,,13310,,13310,Mia Zinni,,Architecture,11B,001,A,Letter Grade,A,Intro To Design
5,13310,,13310,,13310,Mia Zinni,,Architecture,11B,001,A,Letter Grade,A-,Intro To Design
1,13310,,13310,,13310,Mia Zinni,,Architecture,11B,001,B,Letter Grade,B+,Intro To Design
1,13310,,13310,,13310,Mia Zinni,,Architecture,11B,001,C,Letter Grade,C+,Intro To Design
11,13314,,13314,,13314,Mark Schatz,,Architecture,108,001,A,Letter Grade,A,Arch Internship
3,13314,,13314,,13314,Mark Schatz,,Architecture,108,001,A,Letter Grade,A-,Arch Internship
2,13314,,13314,,13314,Mark Schatz,,Architecture,108,001,B,Letter Grade,B+,Arch Internship
3,13314,,13314,,13314,Mark Schatz,,Architecture,108,001,Credit,Non-Letter Grade,Pass,Arch Internship
4,13316,,13316,,13316,Kyle Steinfeld,,Architecture,124A,001,A,Letter Grade,A+,3-D Computer Tech
2,13316,,13316,,13316,Kyle Steinfeld,,Architecture,124A,001,A,Letter Grade,A,3-D Computer Tech
2,13316,,13316,,13316,Kyle Steinfeld,,Architecture,124A,001,A,Letter Grade,A-,3-D Computer Tech
2,13316,,13316,,13316,Kyle Steinfeld,,Architecture,124A,001,B,Letter Grade,B+,3-D Computer Tech
1,13316,,13316,,13316,Kyle Steinfeld,,Architecture,124A,001,B,Letter Grade,B,3-D Computer Tech
1,13316,,13316,,13316,Kyle Steinfeld,,Architecture,124A,001,C,Letter Grade,C,3-D Computer Tech
5,13316,,13316,,13316,Kyle Steinfeld,,Architecture,124A,001,F,Letter Grade,F,3-D Computer Tech
1,13317,,13317,,13317,Kyle Steinfeld,,Architecture,124A,002,A,Letter Grade,A+,3-D Computer Tech
3,13317,,13317,,13317,Kyle Steinfeld,,Architecture,124A,002,A,Letter Grade,A,3-D Computer Tech
3,13317,,13317,,13317,Kyle Steinfeld,,Architecture,124A,002,A,Letter Grade,A-,3-D Computer Tech
2,13317,,13317,,13317,Kyle Steinfeld,,Architecture,124A,002,B,Letter Grade,B+,3-D Computer Tech
1,13317,,13317,,13317,Kyle Steinfeld,,Architecture,124A,002,B,Letter Grade,B,3-D Computer Tech
1,13317,,13317,,13317,Kyle Steinfeld,,Architecture,124A,002,B,Letter Grade,B-,3-D Computer Tech
1,13317,,13317,,13317,Kyle Steinfeld,,Architecture,124A,002,C,Letter Grade,C,3-D Computer Tech
4,13317,,13317,,13317,Kyle Steinfeld,,Architecture,124A,002,F,Letter Grade,F,3-D Computer Tech
5,15624,,15624,,15624,Brendon Levitt,,Architecture,149,001,A,Letter Grade,A+,Spec Top Erg Envir
6,15624,,15624,,15624,Brendon Levitt,,Architecture,149,001,A,Letter Grade,A,Spec Top Erg Envir
2,15624,,15624,,15624,Brendon Levitt,,Architecture,149,001,B,Letter Grade,B+,Spec Top Erg Envir
1,15624,,15624,,15624,Brendon Levitt,,Architecture,149,001,F,Letter Grade,F,Spec Top Erg Envir
5,15642,,15642,,15642,Brendon Levitt,,Architecture,149,002,A,Letter Grade,A,Spec Top Erg Envir
3,15642,,15642,,15642,Brendon Levitt,,Architecture,149,002,A,Letter Grade,A-,Spec Top Erg Envir
1,15642,,15642,,15642,Brendon Levitt,,Architecture,149,002,B,Letter Grade,B,Spec Top Erg Envir
1,15642,,15642,,15642,Brendon Levitt,,Architecture,149,002,Credit,Non-Letter Grade,Satisfactory,Spec Top Erg Envir
5,13319,,13319,,13319,Mark Schatz,,Architecture,198,001,Credit,Non-Letter Grade,Pass,Directed Group Stdy
2,11568,,11568,,11568,Christopher Calott,,Architecture,209,001,A,Letter Grade,A,Spec Top Arch Des
15,11568,,11568,,11568,Christopher Calott,,Architecture,209,001,A,Letter Grade,A-,Spec Top Arch Des
8,11568,,11568,,11568,Christopher Calott,,Architecture,209,001,B,Letter Grade,B+,Spec Top Arch Des
