name,cityofberkeley_amount,ucberkeley_amount,both_amount,committee name
"finance/Democrat/MENDOZA, ANABEL",250,0,0,ANABEL FOR CONGRESS
"finance/Democrat/MENDOZA, JOANNA",16625.01,833.34,0,MENDOZA FOR CONGRESS
"finance/Democrat/MENEFEE, CHRISTIAN",2500,0,0,CHRISTIAN D MENEFEE FOR CONGRESS
"finance/Democrat/MENENDEZ, ROBERT J.MENENDEZ, ROBERT",3500,0,0,MENENDEZ FOR CONGRESS
"finance/Democrat/MENG, GRACE",3500,0,0,GRACE FOR NEW YORK
"finance/Democrat/MERKLEY, JEFFREY ALAN",25256,0,0,JEFF MERKLEY FOR OREGON
"finance/Democrat/MILLER, ADAM CLAYMILLER, ADAM CLAY",700,0,0,MILLER FOR AMERICA
"finance/Democrat/MILLS, JANET TRAFTON",20080,0,0,MILLS FOR MAINE
"finance/Democrat/MIN, DAVE",17100,0,7000,DAVE MIN FOR CONGRESS
"finance/Democrat/MITRA, AISHWARYA",0,0,10,SPARKY MITRA FOR CONGRESS
"finance/Democrat/MORRISON, KELLY LOUISE",150,0,0,MORRISON FOR CONGRESS
"finance/Democrat/MOSKOWITZ, JARED",629,250,0,JARED MOSKOWITZ FOR CONGRESS
"finance/Democrat/MOSS, JEREMY",3500,0,0,JEREMY MOSS FOR CONGRESS
"finance/Democrat/MOULTON, SETH",10100,0,0,"SETH FOR MASSACHUSETTS, INC"
"finance/Democrat/MRVAN, FRANK J.",7000,0,0,MRVAN FOR CONGRESS
"finance/Democrat/MUJICA, HECTOR DANIEL",250,0,0,HECTOR MUJICA FOR CONGRESS
"finance/Democrat/MUJICA, HECTOR DANIEL",5500,1576,0,HECTOR MUJICA FOR FLORIDA
"finance/Democrat/MULLIN, KEVIN",400,0,0,KEVIN MULLIN FOR CONGRESS
"finance/Democrat/MURPHY, CHRISTOPHER S",9818.66,0,0,FRIENDS OF CHRIS MURPHY
"finance/Democrat/MURRAY, ERIK",300,0,0,ERIK MURRAY FOR KANSAS
"finance/Democrat/MURRAY, PATTY",0,1000,0,PEOPLE FOR PATTY MURRAY
"finance/Democrat/NEGUSE, JOSEPH",250,0,0,JOE NEGUSE FOR CONGRESS
"finance/Democrat/NEILL, REILLY",250,0,0,REILLY FOR MONTANA
"finance/Democrat/NELSON, JENA",300,0,0,JENA NELSON FOR CONGRESS
"finance/Democrat/NEZ, JONATHAN MICHAEL",11107.41,0,0,JONATHAN NEZ FOR CONGRESS
"finance/Democrat/OCASIO-CORTEZ, ALEXANDRIA",40493.66,3553,2619.62,ALEXANDRIA OCASIO-CORTEZ FOR CONGRESS
"finance/Democrat/OJEDA, RICHARD N.",3925,0,0,OJEDA FOR NC
"finance/Democrat/OMAR, ILHAN",7658.89,0,2346.3,ILHAN FOR CONGRESS
"finance/Democrat/OSSOFF, T. JONATHAN",174309.3,10615.13,515,JON OSSOFF FOR SENATE
"finance/Democrat/OSYF, JAMES",500,0,0,JAMES OSYF FOR CONGRESS
"finance/Democrat/OXMAN, DAVID",0,500,0,DAVE OXMAN FOR CONGRESS
"finance/Democrat/PADILLA, ALEX",1463,0,0,ALEX PADILLA FOR SENATE
"finance/Democrat/PALLONE, FRANK JR",14000,0,0,PALLONE FOR CONGRESS
"finance/Democrat/PAN, RICHARD DR.",7000,0,0,DR. RICHARD PAN FOR CONGRESS
"finance/Democrat/PAPPAS, CHRIS",12771.67,250,0,CHRIS PAPPAS FOR SENATE
"finance/Democrat/PEARSON, JUSTIN J.",2250,0,0,THE COMMITTEE TO ELECT JUSTIN J. PEARSON
"finance/Democrat/PECK, TIMOTHY",250,0,0,TIM PECK FOR CONGRESS
"finance/Democrat/PEGUERO, ROBIN",950,81,0,ROBIN PEGUERO FOR CONGRESS
"finance/Democrat/PELOSI, NANCY",12952.5,0,500,NANCY PELOSI FOR CONGRESS
"finance/Democrat/PELTOLA, MARY",69303.44,5000,500,ALASKANS FOR MARY
"finance/Democrat/PERRIELLO, THOMAS",52370,0,0,TOM PERRIELLO FOR CONGRESS
"finance/Democrat/PETERS, ROBERT JAMES",362,0,0,ROBERT PETERS FOR CONGRESS
"finance/Democrat/PETTERSEN, BRITTANY LOUISE",1000,0,0,BRITTANY PETTERSEN FOR COLORADO
